,静岡市,浜松市,名古屋市,岡山市,広島市,札幌市,京都市,大阪市,堺市,神戸市,北九州市,福岡市,熊本市,仙台市,新潟市,さいたま市,千葉市,横浜市,川崎市,相模原市,特別区部
2022-09-10 09:00:00,128.63575447633937,165.1427332087703,385.15389153451076,105.05433204344062,166.61699467156936,300.474952370599,303.90706095878403,740.6783227429949,225.06713708017764,294.5925976612373,248.56417800268932,296.00158650741554,144.41548056234015,200.09924078425718,122.01959859743017,227.46120890263063,153.96704874305973,649.4527493555922,433.7596635921801,142.58976584726489,1989.147611066989
2022-09-10 10:00:00,133.21502081692103,171.0216007340016,398.86487149205,105.96234911311691,168.05711686660067,306.53881710180804,321.9578549722272,784.6714823355244,238.4351730771453,312.0901519513277,264.458826419267,314.9296604804627,153.6502516701249,205.7436947834117,125.46156073871124,240.45899226849522,162.76516581409172,686.5643350330547,458.54593008316186,150.73775246710858,2102.8131888422454
2022-09-10 11:00:00,136.98571040855384,175.86241647593158,410.15485673680695,107.29194553657149,170.16586722361083,312.70723122493445,331.58004832222133,808.1225663909521,245.5611658161189,321.4174341975203,285.0992703346333,339.5092446919079,165.6423241039307,211.65586992086608,129.06677800131789,247.16311210983594,167.3031419875714,705.7061002772195,471.3304254311419,154.94039819734377,2161.440697378957
2022-09-10 12:00:00,136.6254534412004,175.3999181566389,409.0761957261614,107.47030603240074,170.4487483690634,303.0886871685339,332.0574853968393,809.2861697982825,245.91474560851069,321.88023827843824,292.3058486846455,348.0911676465122,169.8293372286293,212.86061504321523,129.801426047283,248.12084351574174,167.95142429806847,708.440638169243,473.15678190942475,155.54077615880593,2169.816055741344
2022-09-10 13:00:00,137.32195024475038,176.29408157393806,411.1616070134095,109.610631982352,173.84332211449436,301.4158968978556,345.1870049488351,841.285263499868,255.63818989928575,334.607350503682,294.31465101217515,350.4833412923949,170.99644890101916,212.83830494835692,129.7878214538392,249.96789694141722,169.20168303974143,713.7143898181455,476.67904083182736,156.6986479416258,2185.9685325830906
2022-09-10 14:00:00,138.80300666609236,178.19546355325238,415.5961022793968,110.12949887930988,174.66624908308367,296.71117426157275,346.80294581677305,845.2236134939093,256.8349215043042,336.17376431601974,294.0133306630457,350.12451524551255,170.8213821501607,209.60334119390077,127.8151554044884,250.03630632755338,169.24798891906266,713.9097139532902,476.80949486599053,156.74153208173027,2186.566772466119
2022-09-10 15:00:00,136.4573335231021,175.18408560763564,408.5728205878601,111.68609957018353,177.13502998885164,301.83409446552514,346.2336939201132,843.836240200554,256.41334559799094,335.62195945030993,289.3679752806336,344.59261368940867,168.12243640775912,205.76600487827002,125.47516533215504,245.11083052575205,165.91396560793476,699.8463762228834,467.41680440625004,153.65387399421056,2143.4935008881266
2022-09-10 16:00:00,131.75798152673596,169.15105197597344,394.5022869601057,113.58320666218577,180.14385671775636,312.6026818330171,340.10046380771234,828.8884118140791,251.87120518803448,329.67670702621,289.97061597889245,345.3102657831735,168.4725699094761,201.50477676033123,122.87668798438949,237.5173886646417,160.77401300327924,678.1653972218395,452.9364066141502,148.89373444261764,2077.088873872056
2022-09-10 17:00:00,125.92982436599567,161.6688569438609,377.05194883232855,111.13480349216576,176.26067008472546,322.2212258894176,330.5700852797601,805.6610976446764,244.81320856298237,320.4384255648093,282.5882674252213,336.51902763455445,164.18343451344336,194.85636849255238,118.8225191381375,229.17144355603386,155.12469572609027,654.3358527342058,437.0210144462567,143.6618693498759,2004.1036081426805
2022-09-10 18:00:00,127.6270349677497,163.8477379147508,382.13364070470317,112.88597926939862,179.03804860371443,336.9626901497706,327.5401961523765,798.276691405849,242.56933680357275,317.5013996666761,281.6340863196448,335.38274515276015,163.62905646905818,196.9981375989509,120.12856010874215,227.59802767490288,154.05966050170218,649.8433976258814,434.0205716605063,142.67553412747375,1990.3440908330442
2022-09-10 19:00:00,122.50338032094506,157.26998404036613,366.79268410885516,109.04312131380432,172.94324574259977,329.2260351478832,317.11003236841333,772.8564323534005,234.8449782620899,307.3909105143146,275.58256930796193,328.1763220445384,160.11313255598373,188.11871984534022,114.7139319181103,218.29435116038928,147.76206091401613,623.2793152462241,416.2788230143299,136.84329107326985,1908.9834667412817
2022-09-10 20:00:00,116.75528026406108,149.89056641254084,349.5820484278881,103.51394594309691,164.1739302335698,308.3161567644038,301.61169040773575,735.084075592368,223.36723423214005,292.3675780414394,258.3570893493959,307.66343303109386,150.10514996524068,178.81541028942146,109.04081645204626,207.89612446769758,140.72356725719052,593.5900467042541,396.4498098215445,130.32490177739487,1818.0510045210763
2022-09-10 21:00:00,112.61632799468919,144.57697461088944,337.18943192780455,98.66578337464674,156.48470637081334,288.24267351626355,287.76601524381294,701.3395767797869,213.11342025277727,278.9462596948187,242.7386512528536,289.0642829343556,141.03085671240956,168.5304565597367,102.76909887445507,195.58243496319426,132.38850897937076,558.431702378237,372.96808367219336,122.60575655859557,1710.3678255760965
2022-09-10 22:00:00,106.7161194404782,137.00227991491835,319.5233615978982,96.152521842507,152.4986538667088,277.8922837164412,276.3075254529802,673.4130950038576,204.6275052353736,267.8389617527877,233.3475003716529,277.8808711398538,135.57460964398697,161.8151180073829,98.67411624787167,187.09967108231422,126.64657994353936,534.2115096203142,356.79178343597374,117.28812318564495,1636.186080080666
2022-09-10 23:00:00,102.76930422036149,131.9353538835564,307.706030970159,94.53106278951363,149.92700708986715,268.6919372277103,263.8023466908695,642.9356365272425,195.36643451926477,255.71705486412895,222.7008480357462,265.2023508166752,129.3889177803207,154.38585641956288,94.14378663108671,177.93281334007287,120.44159211449576,508.03807551094604,339.3109428581235,111.54164841164992,1556.0219357549588
2022-09-11 00:00:00,94.95573088398439,121.90427922511977,284.3110721614907,90.41255679491046,143.3950242766894,254.6823187107791,242.13404868897436,590.1259434253251,179.31935163378986,234.71286965323714,204.49607694250952,243.52327715086292,118.8119682492876,147.51434720320086,89.95357185039674,164.18252672671085,111.13411037093034,468.77792434689366,313.0896819913481,102.92193625065737,1435.775719266398
2022-09-11 01:00:00,89.71199058139526,115.1723592443042,268.61056189542745,85.25631700639154,135.21718752633302,253.42772600777033,227.64566977075802,554.8150554105684,168.58956485697658,220.66854581307302,193.49788419928515,230.42612643965492,112.42203184295313,143.54315031842017,87.53195421740057,155.0840783706056,104.97542842120795,442.79981437266997,295.7392954476608,97.21834561676675,1356.2098148237183
2022-09-11 02:00:00,88.29497984313835,113.3531991884197,264.3678285868882,86.91020524044478,137.8402672387115,260.74618344198814,226.41535115539617,551.8165389378324,167.6784169304284,219.47593529686134,193.52299422837928,230.45602861022846,112.436620738858,145.3948881916606,88.66113547323586,151.45838090539073,102.52121681718323,432.44763521000937,288.82523163701853,94.9454861912314,1324.503101023252
2022-09-11 03:00:00,89.8000533956372,115.28541438902019,268.8742345869186,90.25041088961112,143.13785959900525,279.14687641945,230.38175146760747,561.4833980141156,170.61584905183736,223.32076919987205,199.72517141462683,237.8418647418914,116.0400780273617,150.3477292502073,91.68135521775916,152.21088415288816,103.03058148971667,434.5962006965993,290.26022601281227,95.41721173238025,1331.0837397365565
2022-09-11 04:00:00,89.54387066329697,114.95652669530095,268.10718675712616,92.90960373652025,147.35536031302553,283.3288520961459,230.7490107557752,562.3784775582159,170.8878335075234,223.6767723390397,206.95685979373326,246.4536898670693,120.24168004796519,153.44883243551354,93.57239370644717,153.98952819242754,104.23453435206842,439.67462821035735,293.6520309010519,96.53219937509571,1346.6379766952757
2022-09-11 05:00:00,89.63193347753894,115.06958184001694,268.3708594486173,92.65017028804132,146.94389682873089,268.0646408762059,226.5071659774381,552.0403088238575,167.7464130443499,219.56493608165326,208.89033203398046,248.75615700123143,121.36502503264043,152.04329645943946,92.71530431948786,154.26316573697204,104.4197578693533,440.4559247509355,294.1738470377041,96.70373593551348,1349.0309362273865
2022-09-11 06:00:00,87.98275713809869,112.95236731169938,263.43298904432874,90.80170696762887,144.0122195031314,255.9369114137879,227.22332158936516,553.7857139348531,168.27678273293768,220.25914220303022,199.80050150190917,237.93157125361202,116.08384471507631,148.71909232555004,90.68821989636187,154.94725959833335,104.8828166625655,442.4091661023809,295.4783873793347,97.13257733655787,1355.013335057663
2022-09-11 07:00:00,93.69883435344013,120.29067397780977,280.5477437465717,91.85565535207458,145.68378990807847,255.4141644542009,243.49290805519493,593.4377377384961,180.32569411982814,236.0300812681575,198.74588027995617,236.67568008952358,115.47111108707163,154.56433717842944,94.25262337863711,163.77207040989404,110.856275095003,467.6059795360264,312.30695778636965,102.66463141003071,1432.186279968232
2022-09-11 08:00:00,101.79260755331435,130.6814695512518,304.78166111907547,95.45529444971986,151.3928457526669,266.18275182169276,269.32959897779364,656.406583665952,199.4598005773393,261.07490210860226,210.52248392509821,250.69979808851113,122.31330326645717,163.77840635491492,99.87132047092595,178.9589541321148,121.13618030431407,510.96793753811403,341.2677533705694,112.18491051321651,1564.9955340003737
2022-09-11 09:00:00,109.89438646357422,141.0825428651226,329.03954873626026,99.86566307386182,158.38772498567613,282.07425939313714,295.4784602953349,720.136247205893,218.8250938221836,286.4223256173395,232.64441955701753,277.0436103637948,135.1661205586505,177.87838630537212,108.46942352740672,191.34105302275424,129.51754446145506,546.3216059992757,364.87993355408355,119.94693987212025,1673.2769528283814
2022-09-11 10:00:00,115.65849794122946,148.48251597380536,346.29812490658935,101.76277016586407,161.39655171458082,289.4972662192723,317.1651212616385,772.9906942850156,234.8857759304428,307.44431098518976,252.75755286140728,300.99524899319573,146.85182617845396,182.40733556161072,111.23115599649783,205.70702411134144,139.24177911891147,587.3396743796288,392.2752807283265,128.9526092940528,1798.9073282641912
2022-09-11 11:00:00,120.37386135836687,154.536105086325,360.41659902370577,105.88127616046724,167.9285345277586,294.20198885555516,331.61677425103807,808.2120743453621,245.58836426168747,321.45303451143707,267.24603964871426,318.248801414125,155.26961911556583,188.14102994019854,114.72753651155409,213.43728474472408,144.47434348220943,609.4113016509617,407.0165865887525,133.79851712585457,1866.5084350463173
2022-09-11 12:00:00,122.9116715506123,157.79414880223115,368.01516658758675,111.63745579859372,177.0578805855464,291.17005648995064,340.32081938061293,829.4254595405392,252.0343958614461,329.8903089097106,284.1953092872449,338.4327665512606,165.11712385135525,194.38785650052768,118.5368226758177,217.54184791289185,147.2526962414827,621.1307497596341,414.8438286385362,136.371565532121,1902.4028280279772
2022-09-11 13:00:00,124.12053381884276,159.34608760696878,371.6346735344196,111.65367038912365,177.0835970533148,285.0016423668242,344.6728419454003,840.0321521381276,255.25741166132534,334.1089461088473,287.28384286582167,342.11073353180535,166.91155804765467,195.34719057943533,119.12182019390104,219.18367318015896,148.364037345192,625.8185290031031,417.97472545844965,137.40078489462758,1916.7605852206414
2022-09-11 14:00:00,125.52953884671405,161.15496992242458,375.8534365982779,112.04282056184206,177.7007922797568,281.9697100012197,346.2520568845215,843.8809941777589,256.4269448207752,335.6397596072683,284.17019925815083,338.4028643806871,165.10253495545038,194.36554640566933,118.52321808237392,219.4573107247035,148.5492608624769,626.5998255436812,418.4965415951019,137.57232145504534,1919.153544752752
